PreExperiment.started,PreExperiment.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,353.019,353.918,0.9,353.919,357.918,,0,,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,28,28,45,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,357.918,358.717,0.8,358.718,362.718,,0,,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,29,29,3,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,362.719,363.218,0.5,363.219,367.219,,0,,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,30,30,13,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,367.222,368.468,1.25,368.47,372.468,,0,,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,31,31,25,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,372.469,373.818,1.35,373.82,377.825,,0,,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,32,32,34,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,377.825,379.068,1.25,379.068,383.068,,0,,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,33,33,31,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,383.069,383.468,0.4,383.47,387.469,,0,,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,34,34,32,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,387.469,388.018,0.55,388.019,392.018,,0,,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,35,35,20,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,392.019,393.518,1.5,393.52,397.52,,0,,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,36,36,29,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,397.522,398.368,0.85,398.371,402.369,,0,,,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,37,37,47,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,402.371,403.619,1.25,403.62,407.618,,0,,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,38,38,19,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,407.619,408.868,1.25,408.869,412.868,,0,,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,39,39,24,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,412.869,413.518,0.65,413.52,417.518,,0,,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,40,40,14,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,417.518,418.168,0.65,418.169,422.167,,0,,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,41,41,18,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,422.167,423.419,1.25,423.42,427.418,,0,,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,42,42,22,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,427.419,428.318,0.9,428.319,432.32,,0,,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,43,43,7,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,432.323,433.618,1.3,433.62,437.618,,0,,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,44,44,28,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,437.618,438.768,1.15,438.768,442.768,,0,,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,45,45,39,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,442.769,443.468,0.7,443.469,447.468,,0,,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,46,46,16,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,447.469,448.918,1.45,448.919,452.917,,0,,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,47,47,33,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,452.918,453.817,0.9,453.818,457.818,,0,,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,1,0,48,34,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,457.819,458.368,0.55,458.369,462.369,,0,,,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,1,1,49,30,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,462.369,463.667,1.3,463.668,467.669,,0,,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,1,2,50,35,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,467.673,468.418,0.75,468.419,472.419,,0,,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,1,3,51,0,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,472.419,473.917,1.5,473.919,477.918,,0,,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,1,4,52,39,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,477.919,479.368,1.45,479.37,483.368,,0,,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,1,5,53,40,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,483.369,484.818,1.45,484.819,488.818,,0,,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,1,6,54,8,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,488.819,489.768,0.95,489.769,493.768,,0,,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,1,7,55,5,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,493.769,494.568,0.8,494.57,498.569,,0,,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,1,8,56,6,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,498.572,499.168,0.6,499.169,503.168,,0,,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,1,9,57,26,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,503.169,504.368,1.2,504.37,508.368,,0,,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,1,10,58,43,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,508.369,509.219,0.85,509.22,513.218,,0,,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,1,11,59,46,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,513.219,514.619,1.4,514.621,518.621,,0,,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,1,12,60,42,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,518.622,519.118,0.5,519.119,523.119,,0,,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,1,13,61,11,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,523.119,524.118,1,524.12,528.118,,0,,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,1,14,62,7,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,528.119,528.968,0.85,528.969,532.968,,0,,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,1,15,63,33,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,532.972,534.369,1.4,534.37,538.369,,0,,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,1,16,64,36,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,538.369,539.668,1.3,539.67,543.668,,0,,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,1,17,65,9,1,,,,,,,,,
,,,001,2026-01-16_16h01.15.540,ant_ver113,2025.2.3,MacIntel,119.9040767,91122,,,,,543.669,545.068,1.4,545.069,549.068,,0,,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,1,18,66,3,1,,,,,,,,,
