location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,,,,,,,,,,,,,,,,,,,,,,205.542,226.651,space,11.088,,,,,,
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,226.659,228.062,1.4,228.062,232.063,right,1,0.468,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,0,0,28,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,232.064,233.464,1.4,233.465,237.465,left,1,0.514,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,1,1,8,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,237.466,238.115,0.65,238.116,242.117,right,1,0.492,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,2,2,25,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,242.118,243.118,1,243.118,247.119,right,1,0.459,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,3,3,41,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,247.12,247.919,0.8,247.92,251.921,right,1,0.483,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,4,4,43,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,251.922,253.271,1.35,253.272,257.273,left,1,0.509,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,5,5,10,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,257.273,258.223,0.95,258.223,262.225,right,1,0.442,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,6,6,27,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,262.225,263.275,1.05,263.276,267.277,left,1,0.432,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,7,7,12,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,267.277,268.227,0.95,268.228,272.228,left,1,0.466,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,8,8,32,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,272.229,272.829,0.6,272.829,276.83,right,1,0.459,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,9,9,29,1
