location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,blockLoop.order,mainLoop.order
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,358.559,359.5573,1,359.5592,363.5553,,0,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,23,23,45,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,363.5562,364.4552,0.9,364.4564,368.4544,,0,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,24,24,3,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,368.4552,369.4033,0.95,369.4046,373.4023,,0,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,25,25,46,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,373.4036,374.7018,1.3,374.7037,378.7003,,0,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,26,26,5,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,378.7016,380.2486,1.55,380.2492,384.2483,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,27,27,29,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,384.2496,385.4978,1.25,385.4996,389.496,,0,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,28,28,39,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,389.4976,390.6957,1.2,390.6976,394.6936,,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,29,29,37,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,394.6944,395.5931,0.9,395.5944,399.5926,,0,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,30,30,38,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,399.5944,400.5416,0.95,400.5431,404.5403,,0,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,0,31,31,36,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,404.5408,405.1903,0.65,405.1912,409.1885,,0,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,32,32,26,1,,,,,,,,,,,
