location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,resp.rt,resp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,392.9678,393.517,0.55,393.5179,397.5182,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,1.6368,,0,28,28,32,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,397.5189,398.1682,0.65,398.169,402.1684,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0.6994,,0,29,29,12,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,402.1691,403.0677,0.9,403.0685,407.0684,left,1,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0.8651,,0,30,30,10,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,407.0691,408.2685,1.2,408.2692,412.2687,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0.9829,,0,31,31,28,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,412.2692,412.8683,0.6,412.8692,416.8687,left,1,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,1.2817,,0,32,32,33,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,416.8692,418.1688,1.3,418.1696,422.1689,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,1.2602,,0,33,33,29,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,422.1695,422.719,0.55,422.7197,426.7191,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0.8,,0,34,34,6,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,426.7197,427.5691,0.85,427.5697,431.5691,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,1.1815,,0,35,35,42,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,431.5697,432.7191,1.15,432.7199,436.7193,right,1,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0.6817,,0,36,36,44,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,436.7198,437.4693,0.75,437.4701,441.4695,left,1,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0.9516,,0,37,37,38,1,,,,,,,,,
