location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,401.178,401.676,0.5,401.676,405.676,left,1,0.564,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,1,1,37,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,405.676,407.075,1.4,407.076,411.076,left,1,0.399,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,2,2,38,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,411.076,412.575,1.5,412.576,416.575,left,1,0.531,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,3,3,42,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,416.575,417.624,1.05,417.625,421.624,left,1,0.496,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,4,4,21,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,421.625,422.874,1.25,422.875,426.874,left,1,0.448,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,5,5,6,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,426.874,427.974,1.1,427.974,431.974,left,0,0.465,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,6,6,3,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,431.974,432.623,0.65,432.624,436.623,left,1,0.514,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,7,7,46,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,436.623,437.973,1.35,437.973,441.972,right,1,0.431,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,8,8,27,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,441.973,442.773,0.8,442.773,446.772,right,1,0.518,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,9,9,35,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,446.773,448.122,1.35,448.123,452.122,left,1,0.463,,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,10,10,17,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,452.122,453.671,1.55,453.672,457.671,right,1,0.532,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,11,11,7,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,457.672,459.122,1.45,459.123,463.122,right,1,0.6,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,12,12,45,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,463.122,463.821,0.7,463.821,467.821,left,1,0.533,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,13,13,20,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,467.822,468.721,0.9,468.722,472.72,right,1,0.482,,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,14,14,30,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,472.721,473.47,0.75,473.47,477.47,right,1,0.48,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,15,15,39,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,477.471,478.72,1.25,478.721,482.719,right,1,0.467,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,16,16,41,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,482.72,483.319,0.6,483.32,487.319,right,1,0.399,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,17,17,13,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,487.319,487.869,0.55,487.869,491.868,left,1,0.483,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,18,18,9,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,491.869,492.368,0.5,492.369,496.368,right,1,0.514,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,19,19,29,1,,,,,,,,,
