PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,209.8958,210.6461,0.75,210.6469,214.645,left,1,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,0.5312,,,,,,,0,2,2,37,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,214.6456,215.0459,0.4,215.0468,219.046,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,0.5842,,,,,,,0,3,3,46,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,219.0465,220.145,1.1,220.1455,224.1451,left,0,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,0.4714,,,,,,,0,4,4,25,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,224.1458,225.6461,1.5,225.6471,229.646,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.4714,,,,,,,0,5,5,39,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,229.6468,230.195,0.55,230.1958,234.196,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.3995,,,,,,,0,6,6,28,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,234.1965,235.545,1.35,235.5459,239.5454,left,1,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,0.448,,,,,,,0,7,7,8,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,239.5459,240.7959,1.25,240.7968,244.7959,right,1,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,0.3984,,,,,,,0,8,8,19,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,244.7965,246.196,1.4,246.1968,250.196,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,0.4502,,,,,,,0,9,9,22,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,250.1968,251.296,1.1,251.2969,255.2951,left,1,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,0.6159,,,,,,,0,10,10,20,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,255.2955,256.7955,1.5,256.7958,260.7959,right,0,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,0.5513,,,,,,,0,11,11,16,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,260.7964,262.0949,1.3,262.0956,266.096,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,0.5475,,,,,,,0,12,12,36,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,266.0967,267.2961,1.2,267.2968,271.2959,left,0,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,0.4935,,,,,,,0,13,13,26,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,271.2963,271.9959,0.7,271.9968,275.995,right,1,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,0.3653,,,,,,,0,14,14,43,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,275.9954,277.2458,1.25,277.2468,281.245,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,0.5151,,,,,,,0,15,15,32,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,281.2454,282.4959,1.25,282.4966,286.4959,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.4535,,,,,,,0,16,16,4,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,286.4966,287.896,1.4,287.8968,291.8961,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.4801,,,,,,,0,17,17,0,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,291.8966,292.3461,0.45,292.3467,296.3462,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.4442,,,,,,,0,18,18,45,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,296.3468,297.3961,1.05,297.3969,301.396,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,0.4789,,,,,,,0,19,19,31,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,301.3967,302.3461,0.95,302.3469,306.345,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,0.5541,,,,,,,0,20,20,6,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,306.3456,307.696,1.35,307.697,311.6962,right,1,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,0.3984,,,,,,,0,21,21,2,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,311.6967,312.9958,1.3,312.9967,316.995,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,0.4109,,,,,,,0,22,22,1,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,316.9956,317.5951,0.6,317.5959,321.5962,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,0.386,,,,,,,0,23,23,30,1,,,,,,,,,
