PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1250.4206,1251.4725,1.05,1251.4727,1255.4696,left,1,0.7312,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,2,2,22,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1255.4703,1256.8195,1.35,1256.8199,1260.8194,left,1,0.4398,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,3,3,12,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1260.8198,1261.6202,0.8,1261.6207,1265.6204,left,1,0.9891,,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,4,4,15,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1265.6208,1267.1705,1.55,1267.171,1271.1702,left,1,0.229,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,5,5,32,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1271.1706,1272.5704,1.4,1272.571,1276.5703,right,1,0.3895,,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,6,6,30,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1276.571,1277.9205,1.35,1277.9211,1281.9202,right,1,0.4298,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,0,7,7,36,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1281.9206,1283.1201,1.2,1283.1204,1287.1204,left,1,0.5882,,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,0,8,8,4,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1287.1208,1288.1702,1.05,1288.1705,1292.1706,left,1,0.7336,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,9,9,42,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1292.1711,1292.8202,0.65,1292.8207,1296.8205,left,1,1.1379,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,10,10,5,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1296.8211,1297.4208,0.6,1297.4214,1301.4209,left,1,1.173,,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,11,11,1,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1301.4215,1302.3705,0.95,1302.3712,1306.3705,right,1,0.8317,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,12,12,25,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1306.3711,1307.0202,0.65,1307.0207,1311.0203,right,1,1.142,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,13,13,28,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1311.0207,1311.4696,0.45,1311.4702,1315.4706,right,1,1.3976,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,14,14,45,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1315.4711,1316.8202,1.35,1316.8206,1320.8203,left,1,0.4329,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,15,15,16,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1320.8206,1321.5702,0.75,1321.5706,1325.5701,right,1,1.0389,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,16,16,13,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1325.5705,1327.0202,1.45,1327.0208,1331.0205,left,1,0.3364,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,17,17,10,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1331.0211,1331.8203,0.8,1331.8207,1335.8202,left,1,0.9805,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,18,18,9,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1335.8206,1336.8701,1.05,1336.8706,1340.8702,left,0,0.7333,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,19,19,23,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1340.8705,1341.5702,0.7,1341.5705,1345.5708,right,1,1.0901,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,20,20,35,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1345.5714,1346.7694,1.2,1346.7698,1350.7701,left,1,0.591,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,21,21,24,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1350.7705,1351.4707,0.7,1351.4715,1355.471,right,1,1.0816,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,22,22,18,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1355.4715,1356.5202,1.05,1356.5204,1360.5195,left,1,0.7308,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,23,23,38,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1360.5197,1362.0206,1.5,1362.0211,1366.0206,left,1,0.2797,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,24,24,31,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1366.0212,1366.4206,0.4,1366.4211,1370.4195,left,1,1.3801,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,25,25,37,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1370.4199,1371.421,1,1371.4216,1375.4206,left,1,0.7826,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,26,26,14,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1375.4211,1376.2207,0.8,1376.2212,1380.2206,left,1,0.9783,,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,27,27,17,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1380.2211,1381.5202,1.3,1381.5207,1385.5206,right,1,0.4776,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,28,28,3,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1385.5211,1386.0703,0.55,1386.0707,1390.0706,right,1,1.2347,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,29,29,26,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1390.0712,1391.6206,1.55,1391.6212,1395.6202,right,1,0.225,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,30,30,0,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1395.6204,1396.0195,0.4,1396.0199,1400.0206,right,1,1.3907,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,31,31,7,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1400.0211,1401.4705,1.45,1401.4712,1405.4694,right,1,0.3299,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,32,32,27,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1405.4695,1406.6702,1.2,1406.6704,1410.6705,left,1,0.5818,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,33,33,34,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1410.6711,1411.1696,0.5,1411.1701,1415.1705,right,1,1.2826,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,34,34,40,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1415.171,1416.5206,1.35,1416.5211,1420.5203,left,1,0.4314,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,35,35,21,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1420.5206,1421.6201,1.1,1421.6203,1425.6205,right,1,0.6846,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,36,36,44,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1425.6212,1426.7702,1.15,1426.7706,1430.7708,right,1,0.6313,,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,37,37,47,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1430.7714,1432.271,1.5,1432.2715,1436.2702,left,1,0.2847,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,38,38,6,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1436.2708,1436.8204,0.55,1436.8208,1440.8198,left,1,1.2327,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,39,39,20,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1440.8214,1442.3705,1.55,1442.371,1446.3702,left,1,0.24,,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,40,40,33,1,,,,,,,,,
